ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,InjectionLines,XSSLines,DoSLines,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Duration (in seconds),,,,,,,,,,,,,
R_264P0zHozptDX72,Group1,Not really,As part of University projects,No experience,479,86;87,407;429;437;513,51,Disagree,Disagree,Hard,Very Hard,Hard,Very Hard,20-40%,0-20%,0-20%,0-20%,Agree,Neither-Agree-nor-Disagree,Disagree,3518,,,,,,,,,,,,,
R_2dLr1JpvotIPkms,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,206,-,447,-,Agree,Neither-Agree-nor-Disagree,Easy,Hard,Neither Hard Nor Easy,Hard,60-80%,20-40%,40-60%,20-40%,Strongly agree,Strongly agree,Disagree,3713,,,,,,,,,,,,,
R_22tOywUEy1MDak3,Group4,Not really,No experience,No experience,509; 517,183; 185; 296,73;  76,51; 55; 109,Neither-Agree-nor-Disagree,Disagree,Easy,Hard,Easy,Hard,0-20%,0-20%,0-20%,0-20%,Strongly agree,Strongly agree,Agree,3153,,,,,,,,,,,,,
R_NXaAZaoGFQAclY5,Group4,Not really,As part of University projects,As part of University projects,483;928;930,144;195;237;250,73;76,177,Neither-Agree-nor-Disagree,Agree,Easy,Neither Hard Nor Easy,Very Easy,Easy,60-80%,40-60%,60-80%,40-60%,Agree,Strongly agree,Disagree,3181,,,,,,,,,,,,,
R_1OvnM8Bpk1kam5r,Group3,Not really,No experience,As part of University projects,48;75,62;82,447,374,Neither-Agree-nor-Disagree,Agree,Hard,Easy,Hard,Easy,60-80%,60-80%,40-60%,20-40%,Strongly agree,Strongly agree,Agree,3957,,,,,,,,,,,,,
R_1hYeAlqhuGI1fOO,Group3,Yes but in another programming language at a Company,As part of University projects,No experience,87;95;108,62;90,466,418,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,20-40%,20-40%,20-40%,Agree,Strongly agree,Strongly agree,3849,,,,,,,,,,,,,
R_1cTcawAFlCftIi6,Group2,Yes but in another programming language at a Company,As part of University projects,As part of University projects,111;114;116,147;210;236;299,67;69;74;76,103;398;420,Agree,Neither-Agree-nor-Disagree,Easy,Hard,Hard,Easy,40-60%,20-40%,20-40%,60-80%,Strongly agree,Strongly agree,Agree,4346,,,,,,,,,,,,,
R_3oQFWPaE18bzTOW,Group4,Not really,No experience,No experience,339;463,144,73,114;55,Disagree,Agree,Neither Hard Nor Easy,Easy,Easy,Neither Hard Nor Easy,60-80%,60-80%,60-80%,40-60%,Agree,Strongly agree,Strongly agree,3612,,,,,,,,,,,,,
R_3IWtk06QJIfb87q,Group3,Not really,As part of University projects,No experience,"75;78;79;114,118",58;59;61;62;85;86;87,391,475,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Very Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Agree,3523,,,,,,,,,,,,,
R_21sxZN0xSIk4qTj,Group1,Yes as a Research Assistant at University,As part of University projects,As part of University projects,840; 928; 930,93,445; 447; 466; 480 ,50;76,Neither-Agree-nor-Disagree,Agree,Hard,Easy,Easy,Neither Hard Nor Easy,20-40%,60-80%,60-80%,40-60%,Agree,Agree,Agree,4086,,,,,,,,,,,,,
R_2CNgG1jDwk53nvK,Group6,Not really,As part of University projects,No experience,77;96;112,153;163;196;237;292,332;360;361;429;437;468;482,83;94;118,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Very Hard,Neither Hard Nor Easy,20-40%,20-40%,0-20%,0-20%,Agree,Agree,Disagree,3318,,,,,,,,,,,,,
R_3k7ErOo51YmiLjf,Group6,Yes but in another programming language at a Company,Developed several projects using Java,No experience,116;,187;294;,447;451;468;,136;166;191;231;,Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,20-40%,20-40%,20-40%,Agree,Agree,Agree,3624,,,,,,,,,,,,,
R_5Bjq6Q5Eda092bn,Group5,Not really,No experience,No experience,451,62,68,456,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,20-40%,20-40%,20-40%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,3703,,,,,,,,,,,,,
R_3kpREA7clqzBhW4,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,111; 114;,164; 236; 301;,360; 365; 446; 447,55; 109; 127; 224,Agree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,40-60%,Strongly disagree,Strongly disagree,Agree,4047,,,,,,,,,,,,,
R_1OH4FW3H64iAgIu,Group3,Yes in Java at a Company,Developed several projects using Java,As part of University projects,119;120,86;87;88;89;90;91,365,98,Neither-Agree-nor-Disagree,Agree,Hard,Hard,Very Hard,Easy,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,4247,,,,,,,,,,,,,
R_1hBi5XNfwi1cv6p,Group2,Not really,No experience,As part of University projects,89;92;115;117,282;299;289;291,75;88,418;420,Strongly disagree,Disagree,Very Hard,Very Hard,Very Hard,Very Hard,20-40%,20-40%,0-20%,0-20%,Disagree,Agree,Disagree,4010,,,,,,,,,,,,,
R_2qrUe6XhxGreo3M,Group4,Not really,As part of University projects,No experience,204; 396; 514; 753,;,87; 74,83;118;164;187;220;,Agree,Disagree,Hard,Hard,Easy,Hard,0-20%,0-20%,60-80%,0-20%,Strongly agree,Disagree,Disagree,4253,,,,,,,,,,,,,
R_1ifn94RNqMnEO3L,Group4,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,"364;394;449;452;537,480;900","151,153,195",89,"51,73,109,151",Agree,Agree,Hard,Neither Hard Nor Easy,Easy,Easy,60-80%,60-80%,80%-100%,80%-100%,Agree,Agree,Agree,4776,,,,,,,,,,,,,
R_2Ui9T81qAVvDLZx,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,79;87; 110;113;,87;66;,386; 467; 481; 492; ,274; 399;,Agree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Hard,Hard,60-80%,60-80%,40-60%,40-60%,Strongly agree,Strongly agree,Strongly agree,3574,,,,,,,,,,,,,
R_UGgNHuEYVqUoxtT,Group1,Yes but in another programming language at a Company,As part of University projects,Find vulnerabilities for several projects,200;518;687;741;,62;65,382,224,Strongly disagree,Disagree,Neither Hard Nor Easy,Hard,Hard,Neither Hard Nor Easy,20-40%,0-20%,0-20%,20-40%,Agree,Agree,Disagree,3452,,,,,,,,,,,,,
R_3KxqXVic7WpJT1D,Group5,Not really,No experience,As part of University projects,300; 348; 349,62; 66;,74,148; 153; 159,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,40-60%,40-60%,40-60%,0-20%,Agree,Agree,Agree,3795,,,,,,,,,,,,,
R_2y78wOxzuEMlJGc,Group3,Yes as a Research Assistant at University,Developed project(s) using Java outside University,No experience,76;117,59,184;199,360,Strongly agree,Agree,Very Easy,Easy,Hard,Hard,80%-100%,80%-100%,60-80%,60-80%,Strongly agree,Strongly agree,Strongly agree,4201,,,,,,,,,,,,,
R_vqVXA6FIua4HmZX,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,463;849;910;927,91;95;93,70,103;426;433,Disagree,Neither-Agree-nor-Disagree,Very Hard,Hard,Hard,Very Hard,0-20%,20-40%,20-40%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,4404,,,,,,,,,,,,,
R_s5oomC4ENa3owvf,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,200;211;349;517;466;468;483;549,144;235;195;,73;66,76;112;157;180;212,Disagree,Agree,Hard,Easy,Hard,Very Hard,20-40%,40-60%,20-40%,0-20%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,3957,,,,,,,,,,,,,
R_3MSfnZ4ntLWRAkJ,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,207;273;283;,62,72,256,Disagree,Strongly disagree,Hard,Very Easy,Neither Hard Nor Easy,Very Hard,20-40%,80%-100%,60-80%,20-40%,Agree,Agree,Disagree,3938,,,,,,,,,,,,,
R_2atpanWlsIEAwEv,Group4,Not really,As part of University projects,As part of University projects,479,151;153,68,51,Agree,Neither-Agree-nor-Disagree,Hard,Very Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Strongly agree,Strongly agree,Disagree,4443,,,,,,,,,,,,,
R_3MDzkSHSKJd2ZCx,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,88; 113,277; 287,480;465;445,73;151;235,Strongly disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,0-20%,20-40%,20-40%,40-60%,Strongly agree,Strongly agree,Agree,4035,,,,,,,,,,,,,
R_vJn9S8pKtWxEzWp,Group2,Not really,As part of University projects,No experience,125,287;290;319,85,;,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,20-40%,20-40%,20-40%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,4653,,,,,,,,,,,,,
R_2VOy34WzkAVb8EH,Group1,Yes but in another programming language at a Company,No experience,No experience,197;339,58;59,228;243;258;273;288;464,173;,Agree,Agree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,60-80%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,3746,,,,,,,,,,,,,
R_2czsrX2vGnwNBTw,Group6,Not really,As part of University projects,No experience,75,156,324;360,55;,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Easy,Very Hard,0-20%,0-20%,20-40%,0-20%,Agree,Agree,Agree,4394,,,,,,,,,,,,,
R_1l0LUMxjnkFEQCn,Group5,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,348;368;458;505;543;860,62;94,69;76;89,240;262;306;337;580;602,Agree,Neither-Agree-nor-Disagree,Easy,Easy,Easy,Hard,40-60%,60-80%,60-80%,40-60%,Agree,Agree,Agree,4194,,,,,,,,,,,,,
R_1Kvatmhe3zhnSth,Group3,Only as a Teaching Assistant,As part of University projects,No experience,76;114;115;123;91;93;95,59;87;93;94;61;65,426;428;429;430;468,462;463;583;585;661,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Easy,Hard,Very Hard,60-80%,60-80%,20-40%,20-40%,Neither-Agree-nor-Disagree,Agree,Agree,4499,,,,,,,,,,,,,
R_2t3cbjlrqR5PDgY,Group3,Not really,No experience,No experience,96; 119,62; 68,434; 443,692,Disagree,Neither-Agree-nor-Disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Disagree,4740,,,,,,,,,,,,,
R_DItauU6CBCrfciZ,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,"155,200,769,777","233,144",74,177;235,Neither-Agree-nor-Disagree,Disagree,Hard,Hard,Hard,Hard,20-40%,20-40%,20-40%,20-40%,Agree,Agree,Disagree,4340,,,,,,,,,,,,,
R_21bSXxGzUxO7xsY,Group4,Yes in Java at a Company,Developed several projects using Java,As part of University projects,211;539;926;483,237,74,151,Disagree,Neither-Agree-nor-Disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Disagree,Strongly agree,Strongly disagree,4489,,,,,,,,,,,,,
R_2Bye7BGXEea1w4F,Group3,Not really,Developed several projects using Java,As part of University projects,81,62,443,425,Disagree,Disagree,Hard,Hard,Very Hard,Very Hard,20-40%,40-60%,0-20%,0-20%,Agree,Agree,Disagree,4864,,,,,,,,,,,,,
R_1mR9mw0JhcUID7q,Group4,Not really,As part of University projects,No experience,368;458;505;543,195,69,55,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,4607,,,,,,,,,,,,,
R_2dsCthTiQ8gNjOW,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,91;93;107;111,148; 151; 153; 237; 278,447;,235; 236;,Disagree,Agree,Easy,Neither Hard Nor Easy,Easy,Hard,60-80%,40-60%,60-80%,20-40%,Strongly agree,Agree,Neither-Agree-nor-Disagree,5020,,,,,,,,,,,,,
R_3NKwGiLHYVMr4ny,Group1,Yes in Java at a Company,Several years of professional experience with Java,As part of University projects,200;205;300;366;384;402;406;463;483;509;539;734;737;850;854;859;910;928;920;,62;87;90,184;429;434;447;468;,51;180;187;196;201;212;220,Agree,Agree,Easy,Easy,Neither Hard Nor Easy,Hard,60-80%,60-80%,40-60%,40-60%,Agree,Agree,Agree,5277,,,,,,,,,,,,,
R_3maQy7at9ZfUwFa,Group1,Yes but in another programming language at a Company,As part of University projects,Find vulnerabilities outside university,348;463;926;,90;,342;,68,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,40-60%,40-60%,40-60%,40-60%,Agree,Strongly agree,Disagree,4967,,,,,,,,,,,,,
